index,证券代码,open,close,high,high_limit,成交额_亿,auction_pct,prev_limit_up,next_open,次日收益率_pct
2026-04-17,603375.XSHG,39.73,42.79,43.7,43.7,3.69,0.0,0,41.8,-2.3136246786632397
2026-04-17,002771.XSHE,20.21,18.52,20.21,20.21,14.8,10.01633097441481,1,18.78,1.403887688984895
2026-04-17,002285.XSHE,3.12,3.19,3.42,3.42,5.28,0.3215434083601254,0,3.19,0.0
2026-04-17,002424.XSHE,5.01,5.17,5.27,5.27,0.86,-0.19920318725099584,0,5.17,0.0
2026-04-17,000595.XSHE,6.65,6.88,6.91,6.91,1.95,1.0638297872340496,0,6.88,0.0
2026-04-17,000004.XSHE,3.82,3.76,3.82,3.82,0.76,4.9450549450549275,1,3.57,-5.053191489361697
2026-04-17,603580.XSHG,19.28,19.38,19.9,19.9,0.57,1.7414248021108358,0,19.63,1.2899896800825594
2026-04-17,601778.XSHG,7.0,6.91,7.33,7.33,77.41,5.105105105105112,1,6.8,-1.591895803183796
2026-04-17,600103.XSHG,4.02,4.29,4.46,4.46,22.04,-0.7407407407407418,0,4.27,-0.4662004662004726
2026-04-17,601208.XSHG,34.18,36.73,37.41,37.41,34.73,0.49985298441634907,0,36.51,-0.5989654233596431
2026-04-17,605081.XSHG,7.59,7.57,7.59,7.59,0.52,4.979253112033177,1,7.19,-5.019815059445176
2026-04-17,000552.XSHE,3.03,2.66,3.03,3.03,7.26,10.18181818181818,1,2.61,-1.8796992481203145
2026-04-17,002848.XSHE,15.15,15.54,15.74,15.74,1.58,1.0673782521681163,1,15.61,0.45045045045044585
2026-04-17,000657.XSHE,53.5,56.12,57.09,57.09,107.84,3.0828516377649384,1,57.16,1.8531717747683585
2026-04-17,603698.XSHG,42.91,46.1,46.75,46.75,29.92,0.9884678747940523,0,47.68,3.4273318872017233
2026-04-17,002192.XSHE,80.06,84.55,88.02,88.02,34.86,0.04998750312421585,0,85.14,0.6978119455943288
2026-04-17,300083.XSHE,7.59,8.73,9.17,9.17,18.81,-0.654450261780104,0,8.7,-0.3436426116838587
2026-04-20,002392.XSHE,7.16,7.77,7.87,7.87,4.82,0.13986013986013734,0,8.0,2.9601029601029616
2026-04-20,000929.XSHE,10.3,10.57,10.7,10.7,0.53,1.079489695780178,0,10.4,-1.6083254493850507
2026-04-20,002940.XSHE,42.1,39.8,43.08,43.08,24.83,7.507660878447409,1,39.29,-1.2814070351758744
2026-04-20,600367.XSHG,21.56,22.36,23.49,23.49,13.9,0.983606557377037,0,22.52,0.7155635062611854
2026-04-20,002837.XSHE,86.92,92.97,93.47,93.47,101.29,2.2949276215134873,0,83.67,-10.003226847370117
2026-04-20,002962.XSHE,17.31,17.99,19.0,19.0,8.84,0.23161551823971394,0,17.63,-2.0011117287381808
